_id,createdAt,desc,images,publishedAt,source,type,url,used,who,_date
5bfe119c9d2122309624cbab,2018-11-28 03:55:08.740,一个可插拔的Android应用程序，使用Lua脚本开发。,"['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58e2nv6mj307i0dcjsy', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58e3cw5ej307i0dcq3t', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58e479l3j307i0dcgmg', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58e55zp5j307i0dcq49', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58e5zs9xj307i0dcq3y']",2018-12-13 00:00:00.000,chrome,App,https://github.com/hanks-zyh/hydrogenApp,True,lijinshanmx,2018-12-13
5bfe131d9d212230a505d140,2018-11-28 04:01:33.998,Beauty-Compass是在Android设备上运行的指南针的简单演示应用程序。 ,['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58e8lehkj315o0u04dd'],2018-12-13 00:00:00.000,chrome,App,https://github.com/arbelkilani/Beauty-Compass,True,lijinshanmx,2018-12-13
5c08ec729d212230a505d14f,2018-12-06 09:31:30.685,基于flutter的仿网易云音乐播放器,"['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58eb9nqgj30u01qcq5e', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58ebxrn1j30u01qc776', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58ece4u8j30u01qcdi6', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58ed4q6xj30u01qc41k']",2018-12-13 00:00:00.000,web,App,https://github.com/boyan01/quiet-flutter,True,YangBin,2018-12-13
5bffb2249d2122309624cbbd,2018-11-29 09:32:20.813,定时任务执行状态监控,"['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58e90049j30ik0bgt8k', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58ea0s57j31gy0mcabe', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58eap9a4j31h40qt76s']",2018-12-13 00:00:00.000,web,瞎推荐,https://github.com/bruceye777/cronmon,True,bruceye777,2018-12-13
5c0ceab09d21223f5a2bae94,2018-12-13 08:05:44.786,一个快速的字节码编译插件，让你轻松修改Android项目中的任何字节码,,2018-12-13 00:00:00.000,web,拓展资源,http://quinnchen.me/2018/09/13/2018-09-13-asm-transform/,True,Quinn,2018-12-13
5c1216aa9d21223f60727cbf,2018-12-13 08:22:02.158,360开源的移动端可视化性能监控平台，为移动端APP提供性能监控与管理，可以迅速发现和定位各类APP性能和使用问题，帮助APP不断的提升用户体验。,['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58eds38pj30rr0s0751'],2018-12-13 00:00:00.000,chrome,Android,https://github.com/Qihoo360/ArgusAPM,True,lijinshanmx,2018-12-13
5c1216fa9d21223f60727cc0,2018-12-13 08:23:22.185,同学，你的系统Toast可能需要修复一下！Fix Your Android Toast!,,2018-12-13 00:00:00.000,chrome,Android,https://github.com/Dovar66/DToast,True,lijinshanmx,2018-12-13
5c12178e9d21223f5c4439c9,2018-12-13 08:25:50.978,用于在Android中的ViewPager中创建书籍和卡片翻转动画的库.,"['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58eg162og309c0gikjl', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58ei4rvsg309c0giqv5', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58ejvz9hg309c0gie81']",2018-12-13 00:00:00.000,chrome,Android,https://github.com/wajahatkarim3/EasyFlipViewPager,True,lijinshanmx,2018-12-13
5c1218469d21223f5a2bae98,2018-12-13 08:28:54.298,一个安卓浮动操作按钮的安卓库.,['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58epwnwyg30a00k0e84'],2018-12-13 00:00:00.000,chrome,Android,https://github.com/imtuann/FloatingActionButtonExpandable,True,lijinshanmx,2018-12-13
5c12186b9d21223f57f13472,2018-12-13 08:29:31.354,FilePicker 是一个小巧快速的文件选择器框架，以快速集成、高自定义化和可配置化为目标不断前进~,['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58ev5w2wj31hc0u0n5s'],2018-12-13 00:00:00.000,chrome,Android,https://github.com/rosuH/AndroidFilePicker,True,lijinshanmx,2018-12-13
5c1218bf9d21223f5c4439cb,2018-12-13 08:30:55.766,一个卡片式层叠效果的LayoutManager。,['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58f6v38xg30b40mub2e'],2018-12-13 00:00:00.000,chrome,Android,https://github.com/amyu/StackCardLayoutManager,True,lijinshanmx,2018-12-13
5c1218f89d21223f57f13473,2018-12-13 08:31:52.593,Android实现了Oleg Frolov的切换动画.,['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58fqo8tyg30b40go1k4'],2018-12-13 00:00:00.000,chrome,Android,https://github.com/bitvale/Switcher,True,lijinshanmx,2018-12-13
5c1219519d21223f5a2bae99,2018-12-13 08:33:21.695,一个滑动手势来关闭Activity的库.,['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58frd0qug306b0dcwnz'],2018-12-13 00:00:00.000,chrome,Android,https://github.com/thefuntasty/hauler,True,lijinshanmx,2018-12-13
5c1219b39d21223f5a2bae9a,2018-12-13 08:34:59.776,RFlutter Alert是Flutter实现的可定制且易于使用的警报/弹出对话库。,"['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58fspd8qj30u01o0q4h', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58ft07gwj30u01o0409', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58fthfd3j30u01o0q4p', 'https://ww1.sinaimg.cn/large/0073sXn7gy1fy58ftrzlxj30u01o0tag']",2018-12-13 00:00:00.000,chrome,Android,https://github.com/RatelHub/rflutter_alert,True,lijinshanmx,2018-12-13
5c1219dd9d21223f57f13475,2018-12-13 08:35:41.654,Android库可以创建可自定义的浮动动画Toast。,['https://ww1.sinaimg.cn/large/0073sXn7gy1fy58fy9rmog307i0dckjn'],2018-12-13 00:00:00.000,chrome,Android,https://github.com/hariprasanths/FloatingToast,True,lijinshanmx,2018-12-13
